classification,text,favorite_count_log,retweet_count,verified,followers,follow_ratio,length,capital_ratio,question_mark,exclamation_point,has_emoji,hashtag_count,has_url,media_type
1,#BREAKING: A Germanwings Airbus A320 has crashed in French Alps near Digne (@AhronYoung),1.791759469228055,3.295836866004329,True,183317,10.251537859299855,88,0.3269230769230769,0,0,0,1,0,none
1,"BREAKING: Germanwings CEO: Plane victims included 72 German citizens, 35 Spaniards, 2 Americans.",4.248495242049359,5.755742213586912,True,4972128,677.4940727619567,96,0.2711864406779661,0,0,0,0,0,none
1,#A320 @Germanwings flight #4U9525 (registration D-AIPX) was lost from @Flightradar24 at 6800 feet at 09.39 UTC time. http://t.co/5Gv9lXJZW8,1.6094379124341003,3.9512437185814275,False,29948,1.4270262543479297,139,0.23943661971830985,0,0,0,2,0,photo
1,#Germanwings co-pilot suffered serious depression 6 years ago: German newspaper http://t.co/LXDzBdNdMB http://t.co/yTUNdHyEJY,2.5649493574615367,3.7612001156935624,True,330068,2200.46,125,0.18823529411764706,0,0,0,1,1,photo
1,"Passenger plane carrying 148 people crashes in the French Alps en route from Spain to Germany.
#Germanwings",2.0794415416798357,3.4339872044851463,False,86373,107.29689440993789,107,0.07407407407407407,0,0,0,1,0,none
1,#WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within three minutes. http://t.co/ywO1t8O4XI,2.772588722239781,3.6635616461296463,True,183319,10.251649703612571,128,0.14285714285714285,0,0,0,2,1,none
1,#BREAKING #GERMANWINGS co-pilot confirmed name at Press Conference: FirstName: Andreas Guenter / LastName: Lubitz,1.6094379124341003,3.6109179126442243,True,44886,61.153950953678475,113,0.42424242424242425,0,0,0,2,0,none
1,"#BREAKING: Death toll on #Germanwings flight #4U9525 rises to 150 #A320
http://t.co/NK5U1GpHxL",2.1972245773362196,4.04305126783455,True,1103776,627.5025582717453,94,0.4186046511627907,0,0,0,4,1,none
1,148 people feared dead after Germanwings Airbus crash in France: http://t.co/uuK7F3uSVP http://t.co/Y7e55cwW7B,5.1298987149230735,6.71295620067707,True,6445802,6115.562618595825,110,0.15942028985507245,0,0,0,0,1,photo
1,#Germanwings says it cannot confirm that a very brief distress signal was made before flight #4U9525 crashed http://t.co/Pbr82b0Eul,2.5649493574615367,3.6888794541139363,True,1964040,109113.38888888889,131,0.041666666666666664,0,0,0,2,1,none
1,"Converts are DISTURBED!!
Co-Pilot of #GermanWings Airbus Was a Muslim convert.
""Hero of Islamic State""
http://t.co/jBoJb6rfor #WhiteMuslims",2.4849066497880004,3.258096538021482,False,24283,0.909070490023584,139,0.27906976744186046,0,1,0,2,1,none
1,"BREAKING Authorities confirm last words from #germanwings #4U9525 A320 distress call were ""emergency, emergency"" http://t.co/wFg8KTSve2",2.9444389791664403,5.198497031265826,False,58364,151.9921875,135,0.1724137931034483,0,0,0,2,1,none
1,VIDEO -  BREAKING NEWS - Germanwings Airbus crashes in the French Alps with 148 onboard http://t.co/C2fJV2Uapu http://t.co/y0RoEPBMqM,2.302585092994046,4.07753744390572,True,93671,79.18174133558749,133,0.45588235294117646,0,0,0,0,1,photo
